Destination.City,Origin.City,Airline.Status,Age,Gender,Price.Sensitivity,Year.of.First.Flight,Flights.Per.Year,Loyalty,Type.of.Travel,Total.Freq.Flyer.Accts,Shopping.Amount.at.Airport,Eating.and.Drinking.at.Airport,Class,Day.of.Month,Flight.date,Partner.Code,Partner.Name,Origin.State,Destination.State,Scheduled.Departure.Hour,Departure.Delay.in.Minutes,Arrival.Delay.in.Minutes,Flight.cancelled,Flight.time.in.minutes,Flight.Distance,Likelihood.to.recommend,olong,olat,dlong,dlat,freeText
"Las Vegas, NV","San Francisco, CA",Gold,73,Male,1,2007,36,-0.9459459459459459,Personal Travel,0,165,120,Eco,5,1/5/14,OO,Northwest Business Airlines Inc.,California,Nevada,15,141,129,No,65,414,5,-122.158498,37.671179,-115.167218,36.134893,No information: Absolutely packed which in itself is not a problem but there were repeated delays  due to poor organisation and the information flow was almost non existent. Not my greatest flying experience.
"Lihue, HI","San Jose, CA",Blue,15,Female,2,2003,40,-0.9047619047619048,Personal Travel,3,0,75,Eco,8,2/8/14,AS,FlyToSun Airlines Inc.,California,Hawaii,7,0,46,No,369,2466,4,-121.945145,37.329845,-159.361677,21.975754,"25 year old plane with expected issues: What a different opinion since flying our last leg with Southeast. We embarked on a 25 year old 767 plane  to find ourselves sitting on these ripped, disgusting dirty seats. The plane was NOT cleaned in between services as I found bottles of wine on the side and garbage in the pockets. After over an hour of..."
"Los Angeles, CA","New York, NY",Blue,56,Male,2,2008,42,-0.6153846153846154,Business travel,0,0,60,Eco,9,2/9/14,AA,Paul Smith Airlines Inc.,New York,California,9,0,22,No,372,2475,4,-73.970221,40.718357,-118.104332,33.982668,Food in the aircraft: Asked for a vegetarian meal. Food was horrible tasted like it was made and frozen for months and then just served to the customer. Bread was ice cold. A cup of fruit from a canned tin was served and it was frozen I was hungry the whole flight
"Los Angeles, CA","Baltimore, MD",Blue,19,Female,0,2010,16,0.3191489361702128,Business travel,3,60,120,Eco,1,1/1/14,WN,Cheapseats Airlines Inc.,Maryland,California,10,2,0,No,340,2329,9,-76.64776,39.234099,-118.104332,33.982668,"Yea gads a one aisle two seater.: It has been awhile since I have travelled on such a small prop driven aircraft, that in some ways it was a 'whole new experience '. Being given the basic safety spill by the co-pilot and somewhat of a novelty on viewing the cockpit instruments and crew having a casual chat while I am there staring out the 2A window..."
"Los Angeles, CA","New York, NY",Silver,51,Female,2,2005,19,-0.6521739130434783,Business travel,0,120,55,Eco,6,3/6/14,AA,Paul Smith Airlines Inc.,New York,California,13,0,0,No,342,2475,9,-73.970221,40.718357,-118.104332,33.982668,"a quality outfit.: 1. Food was quite astonishingly good. Lamb ribs on the way out, AMAZINGLY GOOD and AAA Alberta fillet steak on the way back, which was again, AMAZINGLY GOOD.2. Service again, fantastic.3. Business Class seat is full lie flat bed and is quite comfortable.4. IFE was not the best if I am honest though, it did have say..."
"Los Angeles, CA","New York, NY",Blue,62,Female,1,2007,29,-0.5263157894736842,Personal Travel,0,390,150,Eco,6,2/6/14,AA,Paul Smith Airlines Inc.,New York,California,13,0,7,No,357,2475,2,-73.970221,40.718357,-118.104332,33.982668,Family flight: It felt like I had stepped back a decade with Southeast. The in flight entertainment had to be restated twice and movie selection was average with only a few of the latest movies. Food was ok and wine selection was white and red. Seats were tired and carpet roughed up. When compared with other airlines...
"Los Angeles, CA","New York, NY",Blue,56,Male,1,2009,24,-0.7777777777777778,Business travel,0,5,75,Business,15,1/15/14,AA,Paul Smith Airlines Inc.,New York,California,19,4,0,No,329,2475,9,-73.970221,40.718357,-118.104332,33.982668,"Awesome business class: This was the best flight I have ever had. Expensive but worth it. The business class with Southeast is excellent. Seats that stretch out. A very attentive staff and excellent food. I especially liked the screen for watching movies as it was bigger, The headphones were really nice as they considerably dampened the outside noise."
"Los Angeles, CA","Lihue, HI",Blue,50,Male,1,2003,46,-0.373134328358209,Personal Travel,1,45,90,Eco,3,1/3/14,AA,Paul Smith Airlines Inc.,Hawaii,California,15,0,0,No,292,2615,5,-159.361677,21.975754,-118.104332,33.982668,"I got what I paid for: On the way to our destination we purchased an upgrade...the attendant said it was the only way for me and my husband to sit together. Since it was our honeymoon, we payed the extra($149.00 EACH) so we could be together. The airline then sat a woman that weighed well over 400 lbs right next to me...or should I say ""on..."
"Los Angeles, CA","Philadelphia, PA",Blue,39,Female,1,2008,10,0.3333333333333333,Business travel,3,0,30,Eco,12,2/12/14,VX,Cool&Young Airlines Inc.,Pennsylvania,California,18,0,10,No,340,2402,6,-75.298356,39.973277,-118.104332,33.982668,"The much bad attitude in Southeast fly attendant: This was l never take this airplane anymore...waht kind the fly attendant he has done the service for customers..very bad the service and attitude, in Taiwan we do the best hospitality around the world, l am proud of all the attention, because our services standards are much higher than the North America air attendants"
"Los Angeles, CA","Baltimore, MD",Blue,56,Female,2,2012,23,-0.9166666666666666,Business travel,0,80,45,Eco,18,3/18/14,WN,Cheapseats Airlines Inc.,Maryland,California,9,121,117,No,319,2329,6,-76.64776,39.234099,-118.104332,33.982668,"Disingenuous - don't use: In air staff is very good but ground gives them plausible deniability by not telling them the truth about delays and connecting flights. We were delayed. During the flight , crew constantly assured us that ""as soon as we have your connecting flight gates and info, we will relay it"". They also..."
"Los Angeles, CA","Tucson, AZ",Blue,47,Female,2,2009,17,-0.7,Business travel,0,40,50,Eco,24,1/24/14,WN,Cheapseats Airlines Inc.,Arizona,California,18,4,0,No,66,451,9,-110.946141,32.254891,-118.104332,33.982668,A short comfortable ride!: Check in was fast and quick. But we had to board the plane by walking outside. My niece got wet due to the drizzle but it was a 1 minute walk. Inflight service was basic given it was a short flight but we were still served juice and biscuits which was a nice touch.
"Los Angeles, CA","Philadelphia, PA",Platinum,44,Male,1,2011,1,0.8571428571428571,Business travel,2,0,82,Eco,26,2/26/14,VX,Cool&Young Airlines Inc.,Pennsylvania,California,18,0,0,No,334,2402,10,-75.298356,39.973277,-118.104332,33.982668,"Great service outshined the broken USB port: I was looking forward to the trip. The plane was a 787, and I was seated in premium economy (PE).Although the plane seemed to be quite new, the USB port..."
"Los Angeles, CA","Boston, MA",Blue,34,Male,2,2009,19,-0.05555555555555555,Business travel,3,0,30,Eco,14,1/14/14,B6,OnlyJets Airlines Inc.,Massachusetts,California,7,2,0,No,347,2611,9,-71.140708,42.373132,-118.104332,33.982668,"good and bad: when flying, we had an amazing flight, the crew was incredible, food was good, and the movies were top notch - an incredible experience!!!when changing planes with the same airline, the plane was small, cramped and sooo uncomfortable!! it was not a pleasant experience:(same airline 2 different experiences)"
"Los Angeles, CA","New York, NY",Blue,27,Male,2,2009,15,0.4444444444444444,Personal Travel,2,0,45,Eco,10,1/10/14,OU,Oursin Airlines Inc.,New York,California,8,0,0,No,341,2475,4,-73.970221,40.718357,-118.104332,33.982668,"Are they serious about feedback?: The Southeast customer relations web form limits the areas of contact which makes you wonder if they are really interested. Of 12 flights in 14 months only two have run to schedule. Bag Check-in, cabin crew and those at the pointy end do a good job. The chaos of loading a full plane has to be seen to be..."
"Los Angeles, CA","New York, NY",Blue,19,Female,1,2003,20,-0.5384615384615384,Personal Travel,2,10,45,Eco,5,3/5/14,AA,Paul Smith Airlines Inc.,New York,California,12,0,0,No,351,2475,6,-73.970221,40.718357,-118.104332,33.982668,"Very poor airline: Sending elderly mom for probably the last flight of her life.Husband who recently passed worked for them for 25 years.They don't care luggage with medication gone , went down check bag area before put luggage tag on. Nobody would go down and retrieve it. Now nobody cares being the phone for the day long holds and..."
"Los Angeles, CA","Kahului, HI",Platinum,38,Female,2,2007,0,1,Business travel,3,0,10,Eco,1,3/1/14,DL,Sigma Airlines Inc.,Hawaii,California,13,0,21,No,269,2486,1,-156.477892,20.886428,-118.104332,33.982668,"Flight Attendant services: Flight Attendants during meal service were rather busy chatting to themselves about their private issues (loudly) than paying attention to passengers. One flight attendant (Theresa) dropped at least twice food on the floor and serving it to passengers stating:"" Oh well it's wrapped, so no big deal."" ...thanks for those germs on my plate and hands now...Food at Air..."
"Los Angeles, CA","Denver, CO",Blue,55,Female,1,2011,4,-0,Business travel,0,5,45,Eco,26,3/26/14,F9,GoingNorth Airlines Inc.,Colorado,California,20,0,0,No,123,862,9,-104.955096,39.710774,-118.104332,33.982668,"Southeast Okay: This was our first time on Southeast and it was okay. Not bad, but not great. We flew  and  changed planes and then flew the reverse route home. All flights were on time and comfortable (as Economy class goes, lol). The entertainment system didn't work on our first leg..."
"Los Angeles, CA","New York, NY",Blue,68,Male,1,2007,63,-0.8260869565217391,Personal Travel,0,30,50,Eco,3,2/3/14,DL,Sigma Airlines Inc.,New York,California,16,122,184,No,371,2475,4,-73.970221,40.718357,-118.104332,33.982668,"Another delayed flight on Southeast: Another flight delayed and still no luggage. Filled out 13 pages of forms, required to copy every boarding pass, itinerary, receipts, copies of passports...all in hopes of getting reimbursement for things bought while there to keep warm and change underwear and to file for lost bag. Terrible system. No outreach from Southeast."
"Los Angeles, CA","Miami, FL",Blue,39,Male,1,2005,4,0.3333333333333333,Business travel,3,0,75,Eco,5,1/5/14,AA,Paul Smith Airlines Inc.,Florida,California,8,3,27,No,332,2342,5,-80.231428,26.175616,-118.104332,33.982668,worst than a budget airline: Very old plane. No TV screens. I had to download an app to use inflight entertainment with my phone - it took me a hour to download it. Food quality was poor. Service was minimal. No beer or wine with meal was offered although it was available to pay for.
"Los Angeles, CA","Miami, FL",Silver,34,Female,2,2009,17,-0.8888888888888888,Business travel,0,175,60,Eco,22,2/22/14,AA,Paul Smith Airlines Inc.,Florida,California,16,0,0,No,330,2342,9,-80.231428,26.175616,-118.104332,33.982668,Always a Pleasure to Fly Southeast: It's always an immense pleasure to travel with Southeast. The flight attendants were very friendly and helpful. The food is also have a higher standards than other airlines. Southeast is my airline of choice and I would highly recommend it to anyone who is a frequent traveler or just an occasional one .
"Los Angeles, CA","Kahului, HI",Platinum,60,Male,1,2005,8,-0.14285714285714285,Business travel,1,30,60,Business,24,1/24/14,AA,Paul Smith Airlines Inc.,Hawaii,California,23,0,0,No,281,2486,9,-156.477892,20.886428,-118.104332,33.982668,"Smooth flying: I was truly amazed that the flight had no turbulence! It was a smooth flight! Taking off and landing were wonderful, no problems!And the stewardesses were so lovely and friendly. I was sitting near a baby where a stewardess helped a mother by placing her baby in the baby cot so the mother could have a meal. It was..."
"Los Angeles, CA","Philadelphia, PA",Gold,44,Female,2,2007,10,-0,Business travel,1,0,20,Eco,26,1/26/14,US,Southeast Airlines Co.,Pennsylvania,California,7,0,34,No,344,2402,3,-75.298356,39.973277,-118.104332,33.982668,Staff Friendly but food inedible: Reasonable leg room but other than that no sign of an improvement on normal economy and the food was inedible. Half the menu wasn't available and the vegetarian lasagne (the only choice left) was indescribable. Why on earth they wasted their time serving it is beyond me give us a decent cold salad or sandwich. Supposed to have a ready...
"Lubbock, TX","Austin, TX",Blue,48,Male,1,2007,19,-0.4074074074074074,Business travel,0,0,70,Eco,13,1/13/14,WN,Cheapseats Airlines Inc.,Texas,Texas,12,0,0,No,52,341,9,-97.761533,30.358514,-101.893174,33.559247,"Flew many times.: Taken Southeast many times before. This time it was just quick flights  but I've flown Southeast to other places as well. Definitely a million times better than some other airlines. Cleaner, more professional and just over all nicer planes. They have TV's at the back of every seat so you can see what you want."
"Miami, FL","Washington, DC",Blue,46,Female,1,2003,26,-0.9259259259259259,Business travel,0,0,60,Eco,27,1/27/14,AA,Paul Smith Airlines Inc.,Virginia,Florida,11,0,0,No,129,919,10,-77.18974,38.897394,-80.231428,26.175616,"Comfort makes the difference!: This was the first time we flew on Southeast. What a treat! The boarding process was strictly adhered to according to the number on the boarding pass. The treats/light refreshment were typical. The staff was attentive, efficient, hospitable, courteous. There were individual screens at each seat for viewing/listening, the plane was clean, the seats were comfortable. There was a..."
"Miami, FL","Atlanta, GA",Blue,53,Female,1,2006,8,-0.6,Business travel,0,25,65,Eco Plus,15,2/15/14,MQ,EnjoyFlying Air Services,Georgia,Florida,16,34,17,No,79,594,9,-84.331858,33.824102,-80.231428,26.175616,"Southeast is Better Than Most Carriers Out There (Specifically in NA.): I have flown with Southeast a numerous amount of times in lifetime, and I have had no real issues. When it comes to flying anywhere in North America, I can tell you that Southeast is the best airline on this continent. My experiences on the 'main' carrier have always been really exceptional.Within the last few..."
"Miami, FL","Los Angeles, CA",Blue,45,Male,1,2003,4,-0.14285714285714285,Mileage tickets,3,0,105,Eco,27,3/27/14,AA,Paul Smith Airlines Inc.,California,Florida,14,12,7,No,239,2342,8,-118.104332,33.982668,-80.231428,26.175616,"Chaos at departure from YYZ: Check in and baggage drop off lines not separated. An unfortunate lack of vision and blatant lack of leadership made this an extremely frustrating experience. Many young and confused, apparently untrained staff, disagreed among themselves. This is a textbook case of lack of leadership. Grow up Southeast."
"Miami, FL","Los Angeles, CA",Blue,25,Male,1,2012,22,-0.5172413793103449,Business travel,1,0,15,Eco,30,1/30/14,AA,Paul Smith Airlines Inc.,California,Florida,7,0,0,No,261,2342,9,-118.104332,33.982668,-80.231428,26.175616,"the absolute best: The airline service was over the top, flight was on the Dream Liner. WOW!. I ordered gluten free meals that were great. Most airlines give marginal meals at best for gluten free. Cabin service was attentive to everyone's needs. Entertainment selection was expansive."
"Miami, FL","San Francisco, CA",Blue,80,Female,1,2008,19,-0.7272727272727273,Personal Travel,0,0,60,Eco,3,1/3/14,AA,Paul Smith Airlines Inc.,California,Florida,21,0,0,No,284,2585,4,-122.158498,37.671179,-80.231428,26.175616,"Extremely cramped seating for such a long flight: Southeast stuffs too many seats into this Boeing 777 route. If you are 5''6"", you'll be uncomfortable, but can survive this long flight. At 6'5"", this flight was pure torture for me. Consider paying extra for seats with additional legroom, or better yet, consider a different airline that offers more generous seat pitch."
"Minneapolis, MN","Kansas City, MO",Blue,44,Female,1,2008,2,0.8709677419354839,Business travel,2,30,30,Eco,8,1/8/14,WN,Cheapseats Airlines Inc.,Missouri,Minnesota,19,75,71,No,62,393,6,-94.594897,39.039792,-93.2798,44.978156,"Worst Airline Customer Service Ever!: The flight was delayed several times, and the gate agents were very slow to notify waiting passengers. The gate agents were not willing to answer questions, stating, ""We're just contractors and don't know anything."" The gate agents and supervisors refused to help or provide info."
"Minneapolis, MN","Boston, MA",Blue,65,Male,2,2003,13,-0.8571428571428571,Personal Travel,0,0,30,Business,17,1/17/14,DL,Sigma Airlines Inc.,Massachusetts,Minnesota,11,0,0,No,157,1124,6,-71.140708,42.373132,-93.2798,44.978156,"WORST CUSTOMER SERVICE BAR NON - Avoid at all cost!!!: I have traveled all over the world on many airlines, some are tiny airlines from developing countries but non of them have as bad customer service as Southeast. I should say Southeast have ZERO customer service period!!!"
"New York, NY","San Francisco, CA",Gold,32,Male,1,2005,8,0.4482758620689655,Mileage tickets,2,0,0,Business,11,1/11/14,OU,Oursin Airlines Inc.,California,New York,12,242,221,No,291,2586,8,-122.158498,37.671179,-73.970221,40.718357,"Unreliable Service: The aircraft were all comfortable even in economy and the aircrew were all good at their job, polite and friendly. The in flight meals are average on the long haul flights. The big problem was the delays, one was 2.5 hours late for a variety of reasons…"
"New York, NY","Los Angeles, CA",Blue,41,Male,1,2005,18,-0.5652173913043478,Business travel,1,0,65,Eco,9,3/9/14,OU,Oursin Airlines Inc.,California,New York,16,3,0,No,288,2475,9,-118.104332,33.982668,-73.970221,40.718357,The best flight ever.: Excellent Service!! We received a upgrade seat. The flight attendant was amazing always take care of us with coffee and everything we needed it. Also the prices are more better than another airlines.I'm going to flight again with Southeast and I suggest to everyone to do that.
"New York, NY","Los Angeles, CA",Blue,16,Male,1,2007,29,-0.9333333333333333,Personal Travel,2,0,68,Eco,22,1/22/14,VX,Cool&Young Airlines Inc.,California,New York,13,6,0,No,281,2475,4,-118.104332,33.982668,-73.970221,40.718357,"Decent, next time will go with a differenet airline: Pros: They didn't lose my luggage (apparently they're notorious for this). Great friendly call center.Cons: Everything else. First leg smelled like urine in the cabin. The flight attendants were apathetic and holier than thou. I had aisle seats on all legs and notice that the space under the..."
"New York, NY","Tampa, FL",Blue,50,Male,1,2009,7,0.06666666666666667,Business travel,0,70,40,Eco,22,3/22/14,DL,Sigma Airlines Inc.,Florida,New York,19,0,0,No,128,1010,9,-82.513188,28.006247,-73.970221,40.718357,"Fly SoutheastI: I was very pleased with my recent flight experience with Southeast. The crew were courteous and very welcoming. I did not use WI-FI, therefore, I cannot say that it was terrible. My only one complaint is that the seats are very narrow and there isn't much leg room. Also, there weren't any tv's."
"New York, NY","Los Angeles, CA",Silver,47,Female,1,2008,11,0.12,Business travel,2,0,50,Eco,25,2/25/14,B6,OnlyJets Airlines Inc.,California,New York,11,17,0,No,265,2475,9,-118.104332,33.982668,-73.970221,40.718357,"Friendly & helpful service during our non-stop flight: Great flight, as always. I take this round trip approx. once every three months. Excellent service, good food, knowledgeable flight attendants always ready to help, and good onboard entertainment system. It's always a pleasure taking Southeast"
"New York, NY","San Francisco, CA",Blue,33,Female,2,2003,30,-0.17647058823529413,Personal Travel,4,0,25,Eco,14,3/14/14,B6,OnlyJets Airlines Inc.,California,New York,8,0,0,No,307,2586,3,-122.158498,37.671179,-73.970221,40.718357,"Lost Our Baggage and Not Giving Any Compensation: I went on a vacation riding Southeast. The experience was nice and all, meals were great, service was friendly but they ended up losing my baggage when I came back to Toronto. No biggie, it happens, I understand. I filed a report and waited patiently for one month, two months, three months wow after THREE..."
"New York, NY","Columbus, OH",Blue,59,Female,1,2004,11,-0.8333333333333334,Business travel,0,0,35,Eco,13,3/13/14,MQ,EnjoyFlying Air Services,Ohio,New York,8,NA,NA,Yes,NA,479,8,-82.968532,40.021161,-73.970221,40.718357,"Best airline in N America? Really?: cabin crew good, food poor, legroom poor. Return was on Business class, which was good, but what really got to us was the lounge at the Airport. The selection of food (soup, bread or salad) was disgusting. Suggest they visit BA Exec Lounge!..."
"New York, NY","Richmond, VA",Silver,69,Male,1,2003,45,-0.9565217391304348,Personal Travel,0,0,60,Business,13,2/13/14,EV,FlyFast Airways Inc.,Virginia,New York,17,NA,NA,Yes,NA,292,6,-77.487983,37.477942,-73.970221,40.718357,"Sucks regularly  - delays / cancellations: When it happened to me people said - yeah, that often happens. I figured it was just people consoling me. Today it happened to my wife - same flight about a month later. Booked to take off at 2:35 pm and the flight is cancelled, so is the next one at 9 something. A special flight to cover both might..."
"New York, NY","Portland, OR",Silver,49,Female,2,2009,32,-0.2549019607843137,Business travel,1,15,45,Eco,15,2/15/14,DL,Sigma Airlines Inc.,Oregon,New York,7,0,0,No,274,2454,9,-122.651087,45.520404,-73.970221,40.718357,"Kudos for the luggage handling: I flew for business purposes. The aircraft was a 787 (one of my favorites), and I sat in premium economy (PE). The crew was nice and friendly. The meal was not bad,..."
"New York, NY","San Juan, PR",Blue,46,Female,1,2006,8,-0.7777777777777778,Business travel,0,0,140,Eco,29,1/29/14,B6,OnlyJets Airlines Inc.,Puerto Rico,New York,12,19,5,No,214,1598,4,-66.116246,18.288174,-73.970221,40.718357,"Business Class Flight Good-Damaged severely new GlobeTrotter bag. No Apology: Flight was good. On board service quite good. However, on arrival, someone had tried to pry open the latch on my literally brand new Globe Trotter custom suitcase. The case wasn't locked was the funny thing. Anyhow, baggage people gave me a claim number, then told me to check again when I..."
"New York, NY","Los Angeles, CA",Blue,63,Female,1,2009,40,-0.7777777777777778,Business travel,0,69,55,Eco,9,2/9/14,OU,Oursin Airlines Inc.,California,New York,22,0,0,No,264,2475,9,-118.104332,33.982668,-73.970221,40.718357,"Southeast Business - Best NA Airline: Southeast has been rated the best service in North America and i can see why. The B787-9 is a great airplane, quiet and comfortable, higher air pressure and more humidity. The Business Class  seat is wonderful, lots of storage and space to move a spread out. All seats are on the aisle and unlike the old business..."
"New York, NY","Phoenix, AZ",Blue,41,Male,1,2007,7,0.6111111111111112,Business travel,2,5,50,Eco,16,3/16/14,US,Southeast Airlines Co.,Arizona,New York,15,5,33,No,280,2153,9,-111.970041,33.494067,-73.970221,40.718357,"Excellent Product & Service: This is the first time we've flown Southeast long haul in business class. The seats were comfortable - I'm 6'2"" and most seats of this class do not give you the room this seat did.Staff were very polite & friendly."
"New York, NY","Las Vegas, NV",Silver,48,Female,1,2006,7,0.4166666666666667,Mileage tickets,2,30,0,Eco,12,1/12/14,DL,Sigma Airlines Inc.,Nevada,New York,7,0,0,No,254,2248,8,-115.167218,36.134893,-73.970221,40.718357,"Disorganized, unpleasant, but some saving graces: I flew Southeast  connecting through Vancouver... on the same day that another Southeast flight almost landed on top of 4 other planes on the wrong runway  and almost causing the worst aviation disaster in history.The good: I was not on that flight.Hard to rate the experience overall -some very unpleasant..."
"New York, NY","Denver, CO",Blue,40,Female,1,2012,9,0.05263157894736842,Business travel,2,5,32,Eco,16,3/16/14,OU,Oursin Airlines Inc.,Colorado,New York,17,0,0,No,190,1620,9,-104.955096,39.710774,-73.970221,40.718357,Very comfy and satisfactory: This is our first time flying business class with Southeast. It is really comfy. The cabin was also quite and warm. It is totally different from the economy class which is always cold. It is hard to figure out why the temperature varies that much.
"New York, NY","Denver, CO",Blue,35,Female,1,2010,8,0.5294117647058824,Personal Travel,1,30,0,Eco,6,1/6/14,DL,Sigma Airlines Inc.,Colorado,New York,8,NA,NA,Yes,NA,1626,3,-104.955096,39.710774,-73.970221,40.718357,Bad Experience: I usually prefer another airline but Southeast is the only service provider to this location so they were my only option. My connection was delayed. And then delayed again before finally being told that it was cancelled after 2 hours due to lack of crew.
"New York, NY","San Antonio, TX",Blue,17,Female,1,2010,26,-0.4444444444444444,Personal Travel,1,0,30,Eco,26,3/26/14,DL,Sigma Airlines Inc.,Texas,New York,8,0,0,No,192,1587,2,-98.475376,29.514399,-73.970221,40.718357,"Lacks in customer service and comforts: You get the bare minimum from Southeast. I had more attitudes from the check-in staff than I've had from all my years traveling. I also started a new policy for myself, give a gift of chocolates or yummy munchies for the flight attendances to enjoy between their long hours of serving us, as a form of an early gratitude..."
"New York, NY","San Diego, CA",Blue,17,Female,1,2007,4,-0.14285714285714285,Personal Travel,1,20,60,Eco,10,3/10/14,DL,Sigma Airlines Inc.,California,New York,7,0,20,No,317,2446,4,-117.128799,32.928728,-73.970221,40.718357,Have definitely gone down hill!: It's at least 5 years since I last flew with Southeast & they are definitely not offering the same high level of service.Drinks of any kind were not served until half way through our meal a good one & a half hours into the flight. I had to swallow my medication without anything! The bottle of water came...
"New York, NY","Seattle, WA",Silver,52,Male,1,2008,12,-0.8461538461538461,Business travel,1,0,40,Eco,10,3/10/14,B6,OnlyJets Airlines Inc.,Washington,New York,21,6,0,No,254,2422,10,-122.274661,47.468409,-73.970221,40.718357,Decent flight: I recently flew on Southeast and I was looking forward to this flight as it was the first time that I flew on a 787. What I liked about the flight was the the 787 is quieter than most planes that I have flown on.
"New York, NY","Las Vegas, NV",Blue,34,Female,1,2005,21,-0.3125,Personal Travel,3,0,70,Eco,3,1/3/14,DL,Sigma Airlines Inc.,Nevada,New York,7,31,129,No,271,2248,4,-115.167218,36.134893,-73.970221,40.718357,"Worst Flight Ever!!!: Where to start, first we got delayed 2 1/2 hours  and missed our connecting flight . We had to wait 5 hours for a flight to connect."
"New York, NY","San Francisco, CA",Blue,72,Female,1,2012,8,0.058823529411764705,Personal Travel,0,0,15,Eco,22,1/22/14,DL,Sigma Airlines Inc.,California,New York,23,0,0,No,278,2586,3,-122.158498,37.671179,-73.970221,40.718357,"Good Allergies: If you have food allergy and require special meal be aware. I had requested gluten meal two times and still had to buy gluten meal at the airport. Speaking with the airline associates did not help. I know, they don't have to be almost nine hours without meal. Poor service."
"Oklahoma City, OK","Atlanta, GA",Blue,64,Female,1,2009,21,-0.5,Personal Travel,0,90,70,Eco Plus,9,2/9/14,EV,FlyFast Airways Inc.,Georgia,Oklahoma,13,105,117,No,118,761,4,-84.331858,33.824102,-97.524305,35.504826,Worst experience ever on an airline!!!!!: I flew on Southeast for the first time this past weekend and I have to say it was the worst experience I have ever had on an airline. the flight was delayed by 3 hours. It was a massive inconvenience and we were never...
"Orlando, FL","Cincinnati, OH",Blue,55,Male,2,2011,0,1,Business travel,0,0,0,Eco,24,2/24/14,DL,Sigma Airlines Inc.,Kentucky,Florida,13,0,0,No,102,757,6,-84.462043,39.185505,-81.411211,28.584428,Leave Time to Check In: The check in baggage drop off process was terrible. Arrived over 1 1/2 hours early for the flight and it took over an hour to drop off bags. Two of three automated terminals were put of order. Poor signage for any one other than executive class. At the point where they realized people were going...
"Orlando, FL","San Diego, CA",Blue,43,Female,1,2009,16,-0.6842105263157895,Business travel,0,10,75,Eco,24,2/24/14,AS,FlyToSun Airlines Inc.,California,Florida,10,0,0,No,238,2149,10,-117.128799,32.928728,-81.411211,28.584428,"Assistance for Disabled: I have Parkinson's Disease and may require assistance when traveling. I have only the highest praise for the assistance I received from Southeast staff on a recent return trip. From the moment we arrived at the airport until we left, my husband and could not fault the treatment we received. The staff were..."
"Orlando, FL","San Francisco, CA",Blue,73,Male,1,2003,14,-0.8666666666666667,Personal Travel,0,95,140,Eco,22,3/22/14,OU,Oursin Airlines Inc.,California,Florida,9,7,0,No,256,2446,5,-122.158498,37.671179,-81.411211,28.584428,"Southeast - Not my first choice: As I recently had to fly - I thought Southeast would be a great choice. What a mistake.The staff at the check in counter at the airport  was all but great. No smile, not very helpful. As I had to change flights I expected to get boarding card..."
"Orlando, FL","San Juan, PR",Blue,33,Female,2,2003,29,-0.38095238095238093,Business travel,2,0,96,Eco,27,3/27/14,WN,Cheapseats Airlines Inc.,Puerto Rico,Florida,6,0,0,No,178,1189,3,-66.116246,18.288174,-81.411211,28.584428,Terrible !: Brutal ! Plane is late due to weather which puts all their flights out of whack so we miss our connection.
"Orlando, FL","Los Angeles, CA",Blue,19,Male,1,2008,51,-0.7894736842105263,Mileage tickets,0,5,5,Eco,20,3/20/14,OU,Oursin Airlines Inc.,California,Florida,8,4,0,No,238,2218,8,-118.104332,33.982668,-81.411211,28.584428,Easy Peazy: We fly round trip once or twice a year and this is a great connection for us. The best part of the trip is the return. Luggage is checked all the way to our final destination. Another plus-----the drinks are free. Economy sucks with any airline.
"Orlando, FL","Manchester, NH",Blue,25,Female,0,2006,21,-0.4,Business travel,0,0,120,Eco,3,3/3/14,WN,Cheapseats Airlines Inc.,New Hampshire,Florida,7,0,2,No,193,1142,8,-71.479666,42.991043,-81.411211,28.584428,Seat room a bit larger but baggage cost more than Alaskan Airlines: We were charged $25 for my 1 bag & my husband was charged $30 x 2 for his 2 bags. In comparison Alaskan Airlines charged $25 for each of our bags.We had more leg room than with Alaskan Airlines but the baggage was more. All entertainment had to be bought. Best to take own food.
"Orlando, FL","Las Vegas, NV",Blue,17,Female,1,2005,25,-0.6129032258064516,Business travel,2,45,20,Eco Plus,22,3/22/14,WN,Cheapseats Airlines Inc.,Nevada,Florida,9,7,0,No,219,2039,6,-115.167218,36.134893,-81.411211,28.584428,"Flight delayed because of aircraft maintenance - no compensation whatsoever.: This is one of the worst airlines with the worst customer service I ever encountered.I got my flight  delayed by more than an hour as a result I would have missed my connection. They booked for the next day, almost 24 hours delay..I had to pay for my own Southeastcommodation and when I asked for a..."
"Orlando, FL","Seattle, WA",Blue,80,Female,1,2012,33,-0.6097560975609756,Personal Travel,0,0,75,Eco,8,1/8/14,AS,FlyToSun Airlines Inc.,Washington,Florida,8,0,4,No,297,2554,4,-122.274661,47.468409,-81.411211,28.584428,"Southeast: I have flown on Southeast before and I'm always disappointed. As usual, the food wasn't great, the seats did not have enough leg room, the reading lights didn't work (on the entire plane) and the sound for the movies did not work on my outlet. I am disappointed that the airline hasn't addressed some of these problems."
